image_name,label
tile_L1000770_00545.png,discard
tile_L1000770_00546.png,discard
tile_L1000770_00654.png,num_2
tile_L1000770_00665.png,discard
tile_L1000770_00666.png,skip
tile_L1000770_00762.png,num_5
tile_L1000770_01993.png,discard
tile_L1000770_01994.png,discard
tile_L1000770_02113.png,skip
tile_L1000770_02114.png,skip
tile_L1000770_02209.png,num_5
tile_L1000770_02210.png,num_5
tile_L1000770_02221.png,num_2
tile_L1000770_02222.png,num_2
tile_L1000770_02234.png,noise
tile_L1000770_02235.png,noise
tile_L1000770_02329.png,num_5
tile_L1000770_02330.png,num_5
tile_L1000770_02392.png,num_3
tile_L1000770_02512.png,num_3
tile_L1000770_03337.png,noise
tile_L1000770_03338.png,noise
tile_L1000770_03339.png,num_3
tile_L1000770_03459.png,discard
tile_L1000770_03711.png,num_2
tile_L1000770_03831.png,num_2
tile_L1000770_04502.png,num_1
tile_L1000770_04622.png,num_1
tile_L1000770_04899.png,num_2
tile_L1000770_05019.png,discard
tile_L1000770_05139.png,noise
tile_L1000770_05259.png,noise
tile_L1000770_05512.png,num_4
tile_L1000770_05513.png,num_4
tile_L1000770_05632.png,num_4
tile_L1000770_05633.png,num_4
tile_L1000770_06302.png,num_1
tile_L1000770_06460.png,num_4
tile_L1000770_06580.png,num_4
tile_L1000770_06700.png,noise
tile_L1000770_06820.png,noise
tile_L1000771_00434.png,num_9
tile_L1000771_00435.png,num_9
tile_L1000771_00541.png,num_0
tile_L1000771_00542.png,num_0
tile_L1000771_01398.png,discard
tile_L1000771_01399.png,discard
tile_L1000771_01881.png,num_9
tile_L1000771_01882.png,num_9
tile_L1000771_02001.png,num_9
tile_L1000771_02002.png,num_9
tile_L1000771_02108.png,num_0
tile_L1000771_02109.png,discard
tile_L1000771_02110.png,noise
tile_L1000771_04138.png,num_5
tile_L1000771_04258.png,num_5
tile_L1000771_05580.png,noise
tile_L1000771_05581.png,noise
tile_L1000771_05816.png,num_5
tile_L1000771_05936.png,num_5
tile_L1000771_06056.png,noise
tile_L1000771_06176.png,noise
tile_L1000771_07274.png,num_7
tile_L1000771_07275.png,num_7
tile_L1000771_07380.png,num_8
tile_L1000771_07381.png,num_8
tile_L1000771_07394.png,num_7
tile_L1000771_07395.png,num_7
tile_L1000771_07500.png,num_8
tile_L1000771_07501.png,num_8
tile_L1000771_07724.png,discard
tile_L1000771_07725.png,discard
tile_L1000771_08828.png,num_8
tile_L1000771_08841.png,num_7
tile_L1000771_08842.png,num_7
tile_L1000771_08948.png,num_8
tile_L1000771_08949.png,noise
tile_L1000771_08962.png,noise
tile_L1000771_09052.png,discard
tile_L1000771_09053.png,discard
tile_L1000771_09069.png,noise
