image_name,label
draw_two\tile_L1000776_00551.png,draw_two
draw_two\tile_L1000782_03606.png,draw_two
draw_two\tile_L1000782_03607.png,draw_two
draw_two\tile_L1000841_01988.png,draw_two
draw_two\tile_L1000848_03975.png,draw_two
draw_two\tile_L1000903_04576.png,draw_two
draw_two\tile_L1000904_00759.png,draw_two
draw_two\tile_L1000904_00879.png,draw_two
draw_two\tile_L1000907_00537.png,draw_two
draw_two\tile_L1000907_03349.png,draw_two
draw_two\tile_L1000908_03981.png,draw_two
draw_two\tile_L1000908_04568.png,draw_two
draw_two\tile_L1000908_06352.png,draw_two
draw_two\tile_L1000908_07060.png,draw_two
noise\tile_L1000779_02219.png,noise
noise\tile_L1000783_07843.png,noise
noise\tile_L1000837_07774.png,noise
noise\tile_L1000855_05296.png,noise
noise\tile_L1000902_02168.png,noise
noise\tile_L1000902_05805.png,noise
noise\tile_L1000903_02357.png,noise
noise\tile_L1000904_02475.png,noise
noise\tile_L1000905_02712.png,noise
noise\tile_L1000905_03291.png,noise
noise\tile_L1000906_02001.png,noise
noise\tile_L1000907_06291.png,noise
noise\tile_L1000908_06291.png,noise
noise\tile_L1000909_02631.png,noise
num_0\tile_L1000772_04900.png,num_0
num_0\tile_L1000775_00299.png,num_0
num_0\tile_L1000775_01984.png,num_0
num_0\tile_L1000775_09072.png,num_0
num_0\tile_L1000781_05378.png,num_0
num_0\tile_L1000781_05498.png,num_0
num_0\tile_L1000785_06258.png,num_0
num_0\tile_L1000791_05765.png,num_0
num_0\tile_L1000791_05766.png,num_0
num_0\tile_L1000842_00408.png,num_0
num_0\tile_L1000842_03897.png,num_0
num_0\tile_L1000842_05573.png,num_0
num_0\tile_L1000848_04174.png,num_0
num_0\tile_L1000855_05871.png,num_0
num_1\tile_L1000775_02750.png,num_1
num_1\tile_L1000775_03937.png,num_1
num_1\tile_L1000790_00441.png,num_1
num_1\tile_L1000790_02125.png,num_1
num_1\tile_L1000837_04179.png,num_1
num_1\tile_L1000837_04300.png,num_1
num_1\tile_L1000837_04675.png,num_1
num_1\tile_L1000842_07958.png,num_1
num_1\tile_L1000842_08451.png,num_1
num_1\tile_L1000844_05405.png,num_1
num_1\tile_L1000846_07484.png,num_1
num_1\tile_L1000847_07490.png,num_1
num_1\tile_L1000852_04816.png,num_1
num_1\tile_L1000904_04300.png,num_1
num_2\tile_L1000772_00654.png,num_2
num_2\tile_L1000772_00655.png,num_2
num_2\tile_L1000772_02102.png,num_2
num_2\tile_L1000776_02118.png,num_2
num_2\tile_L1000777_01985.png,num_2
num_2\tile_L1000778_00424.png,num_2
num_2\tile_L1000778_03256.png,num_2
num_2\tile_L1000788_07626.png,num_2
num_2\tile_L1000789_00542.png,num_2
num_2\tile_L1000790_00536.png,num_2
num_2\tile_L1000850_05690.png,num_2
num_2\tile_L1000903_04696.png,num_2
num_2\tile_L1000904_08940.png,num_2
num_2\tile_L1000907_03469.png,num_2
num_3\tile_L1000772_09075.png,num_3
num_3\tile_L1000774_00542.png,num_3
num_3\tile_L1000774_04070.png,num_3
num_3\tile_L1000774_09082.png,num_3
num_3\tile_L1000777_04529.png,num_3
num_3\tile_L1000778_01977.png,num_3
num_3\tile_L1000780_07517.png,num_3
num_3\tile_L1000780_07518.png,num_3
num_3\tile_L1000787_02339.png,num_3
num_3\tile_L1000836_00654.png,num_3
num_3\tile_L1000848_05977.png,num_3
num_3\tile_L1000850_00650.png,num_3
num_3\tile_L1000850_02332.png,num_3
num_3\tile_L1000902_00762.png,num_3
num_4\tile_L1000773_00910.png,num_4
num_4\tile_L1000775_00405.png,num_4
num_4\tile_L1000779_07617.png,num_4
num_4\tile_L1000779_07618.png,num_4
num_4\tile_L1000788_08819.png,num_4
num_4\tile_L1000789_03496.png,num_4
num_4\tile_L1000791_05692.png,num_4
num_4\tile_L1000791_05812.png,num_4
num_4\tile_L1000840_02459.png,num_4
num_4\tile_L1000848_09181.png,num_4
num_4\tile_L1000849_04741.png,num_4
num_4\tile_L1000855_04178.png,num_4
num_4\tile_L1000905_00427.png,num_4
num_4\tile_L1000909_03137.png,num_4
num_5\tile_L1000770_00762.png,num_5
num_5\tile_L1000775_06714.png,num_5
num_5\tile_L1000775_06715.png,num_5
num_5\tile_L1000775_07662.png,num_5
num_5\tile_L1000778_05765.png,num_5
num_5\tile_L1000778_05766.png,num_5
num_5\tile_L1000838_05372.png,num_5
num_5\tile_L1000842_08935.png,num_5
num_5\tile_L1000844_07604.png,num_5
num_5\tile_L1000847_08943.png,num_5
num_5\tile_L1000847_09064.png,num_5
num_5\tile_L1000852_07020.png,num_5
num_5\tile_L1000907_07585.png,num_5
num_5\tile_L1000908_05860.png,num_5
num_6\tile_L1000772_00548.png,num_6
num_6\tile_L1000772_02115.png,num_6
num_6\tile_L1000774_04924.png,num_6
num_6\tile_L1000785_07502.png,num_6
num_6\tile_L1000785_07503.png,num_6
num_6\tile_L1000839_06247.png,num_6
num_6\tile_L1000846_04806.png,num_6
num_6\tile_L1000851_04250.png,num_6
num_6\tile_L1000851_05816.png,num_6
num_6\tile_L1000853_04744.png,num_6
num_6\tile_L1000853_05452.png,num_6
num_6\tile_L1000904_02338.png,num_6
num_6\tile_L1000907_08413.png,num_6
num_6\tile_L1000908_07370.png,num_6
num_7\tile_L1000771_07394.png,num_7
num_7\tile_L1000777_00764.png,num_7
num_7\tile_L1000777_00765.png,num_7
num_7\tile_L1000784_04549.png,num_7
num_7\tile_L1000785_03018.png,num_7
num_7\tile_L1000791_08922.png,num_7
num_7\tile_L1000840_07118.png,num_7
num_7\tile_L1000849_05898.png,num_7
num_7\tile_L1000850_05284.png,num_7
num_7\tile_L1000903_09054.png,num_7
num_7\tile_L1000906_00773.png,num_7
num_7\tile_L1000906_07515.png,num_7
num_7\tile_L1000908_03229.png,num_7
num_7\tile_L1000908_03784.png,num_7
num_8\tile_L1000771_07380.png,num_8
num_8\tile_L1000774_09173.png,num_8
num_8\tile_L1000779_01980.png,num_8
num_8\tile_L1000781_04385.png,num_8
num_8\tile_L1000783_04381.png,num_8
num_8\tile_L1000784_05059.png,num_8
num_8\tile_L1000790_00667.png,num_8
num_8\tile_L1000790_04505.png,num_8
num_8\tile_L1000902_05750.png,num_8
num_8\tile_L1000905_00296.png,num_8
num_8\tile_L1000905_00297.png,num_8
num_8\tile_L1000908_02180.png,num_8
num_8\tile_L1000909_01736.png,num_8
num_8\tile_L1000909_01857.png,num_8
num_9\tile_L1000772_04628.png,num_9
num_9\tile_L1000774_06456.png,num_9
num_9\tile_L1000778_05693.png,num_9
num_9\tile_L1000778_05813.png,num_9
num_9\tile_L1000783_08951.png,num_9
num_9\tile_L1000787_04068.png,num_9
num_9\tile_L1000787_05137.png,num_9
num_9\tile_L1000840_02825.png,num_9
